               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 147,            0.068299,            0.033486,            0.011424,            0.031481,             0.77976,             0.12697,            0.029295,            0.062565,            0.046075,            0.017981,           0.0071092,           0.0071092,           0.0071092
                 148,            0.097371,            0.031006,            0.021283,            0.026057,             0.70833,            0.068719,            0.021718,            0.062479,            0.045993,            0.020917,           0.0070894,           0.0070894,           0.0070894
                 149,            0.095144,            0.047278,            0.015504,            0.026057,             0.70833,            0.068719,            0.021718,            0.062479,            0.045993,            0.020917,           0.0070696,           0.0070696,           0.0070696
                 150,              0.0971,            0.031194,            0.019099,             0.10486,             0.71429,             0.10154,            0.027562,            0.063656,            0.044254,            0.038513,           0.0070498,           0.0070498,           0.0070498
                 151,            0.068698,            0.046737,            0.016264,             0.10486,             0.71429,             0.10154,            0.027562,            0.063656,            0.044254,            0.038513,             0.00703,             0.00703,             0.00703
                 152,            0.087995,             0.04412,            0.018668,           0.0016779,               0.375,            0.012196,           0.0021011,             0.07539,            0.050833,            0.084497,           0.0070102,           0.0070102,           0.0070102
                 153,            0.089395,            0.046093,            0.017055,           0.0016779,               0.375,            0.012196,           0.0021011,             0.07539,            0.050833,            0.084497,           0.0069904,           0.0069904,           0.0069904
                 154,            0.085607,            0.035482,            0.015625,           0.0028659,                 0.5,            0.037903,            0.009708,            0.074887,            0.050762,            0.077856,           0.0069706,           0.0069706,           0.0069706
                 155,            0.087578,            0.030425,            0.015785,           0.0028659,                 0.5,            0.037903,            0.009708,            0.074887,            0.050762,            0.077856,           0.0069508,           0.0069508,           0.0069508
                 156,            0.063657,            0.033083,            0.014183,             0.52368,                 0.5,             0.10084,            0.025051,            0.068138,             0.04969,            0.039124,            0.006931,            0.006931,            0.006931
